company_id,launch,expansion,mature,decline,rationale,updated_at
1258,32,38,48,18,レカネマブ立ち上げ局面で先行投資負担が利益を圧迫、レンビマ成熟と混合。境界銘柄。レカネマブが本格普及すれば拡大期へ移行する可能性。,2026-06-14T03:21:09.271Z
1256,8,52,64,8,売上 3 年 CAGR +4.2%、安定的拡大。ヘムライブラなど大型薬の海外ロイヤルティが利益柱。次の柱探索局面。,2026-06-14T03:21:09.271Z
1253,12,14,58,38,売上 3 年 CAGR -8.2%、ゾコーバ売上ピークアウトで縮小局面。HIV ロイヤルティが下値を支える構造。,2026-06-14T03:21:09.271Z
1269,8,64,32,0,売上 3 年 CAGR +8.4%、新興国展開と TIS 領域で拡大期色。消耗品リカーリング構造で利益安定。,2026-06-14T03:21:09.271Z
1438,4,48,56,8,CDMO 事業が拡大期、印刷事業は成熟期。事業ミックスでバランス取れた成熟＋一部拡大構造。,2026-06-14T03:21:09.271Z
1213,10,84,18,0,売上 3 年 CAGR +19.8%、主力 Sansan 事業の高利益率と Bill One の急成長で拡大期色が強い。Contract One が次の柱に育つかが論点。,2026-06-14T03:21:09.271Z
962,24,84,10,0,売上 3 年 CAGR +28.4%、法人向け事業の急成長で拡大期色が極めて強い。一方で先行投資負担で連結営業利益率は 3% 台にとどまる。,2026-06-14T03:21:09.271Z
1231,32,78,4,0,売上 3 年 CAGR +28.2%、ARR は安定成長。営業利益はまだ赤字だが、四半期ごとの赤字幅縮小で黒字化が視野に。,2026-06-14T03:21:09.271Z
911,8,88,14,0,売上 3 年 CAGR +24.8%、営業利益率 22% という SaaS 業界では卓越した質的成長を維持。電帳法・インボイス対応で需要構造が継続的に強い。,2026-06-14T03:21:09.271Z
1228,4,76,32,0,売上 3 年 CAGR +16.2%、営業利益率 17% 台で安定。Microsoft 365 普及率上昇に伴う底堅い需要があり、拡大期色強い。,2026-06-14T03:21:09.271Z
1218,10,52,38,8,売上 3 年 CAGR +9.8% は SaaS 業界では緩やかな成長。Chatwork 単体は成熟期に近いが、kubell BPaaS が立ち上がれば次の拡大期へ移行する境界銘柄。,2026-06-14T03:21:09.271Z
2437,0,22,78,0,"世界販売台数 1,100 万台規模で完全な成熟期。ただし HEV・EV・水素の多軸戦略で再成長余地もあり、衰退期スコアはゼロ。為替前提と HEV ミックスで利益率を維持。",2026-06-14T03:21:09.271Z
2473,8,32,60,0,四輪は成熟期だが二輪は新興国伸長中。EV 投資・SONY 合弁・日産提携でローンチ要素もあり。営業利益率 6.8% は OEM 平均並みだが、四輪の利益率がトヨタ・スズキより低い構造課題。,2026-06-14T03:21:09.271Z
2435,0,8,52,40,売上 3 年 CAGR マイナス、営業利益率 2.4% は構造的低水準。衰退期スコアが高い理由：北米シェア低下・中国市場崩壊・主力 EV（リーフ・アリア）の販売停滞。ホンダ提携で再起する可能性は残るが、リスクは大きい。,2026-06-14T03:21:09.271Z
2474,0,68,32,0,売上 3 年 CAGR +9.8% は OEM 中トップクラス、インド市場の構造的成長が主因。ROE 13.8% / 営業利益率 9.4% も高水準。インド経済成長が続く限り拡大期色濃い。,2026-06-14T03:21:09.271Z
2475,0,38,62,0,成熟期色濃いがニッチ戦略で安定。米国販売 70% 超は『北米経済 + 為替』の二重感応で、為替円安局面では拡大期に見える。EV 移行で長期的に競争力が問われる。,2026-06-14T03:21:09.271Z
2469,8,42,50,0,プレミアム化戦略・CX シリーズ拡充で拡大期色も。ROE 8.4% / 営業利益率 5.2% は中堅 OEM 平均並み。北米シェア拡大が続けば一段の成長余地。,2026-06-14T03:21:09.271Z
2275,5,58,37,0,電動化・ADAS 領域では拡大期、内燃機関部品では成熟期。営業利益率 8.2% は Tier1 上位水準。トヨタ依存度 50% はリスクでもあり安定でもある両面性。,2026-06-14T03:21:09.271Z
2468,8,25,50,17,AT・CVT は EV 化で長期需要減（衰退期スコア）。e-Axle は新規領域でローンチ・拡大期スコア。事業転換が進行中で、フェーズスコアが分散。,2026-06-14T03:21:09.271Z
2888,0,35,65,0,売上 3 年 CAGR +4.2%、純利益 1 兆円規模で成熟期。ただし事業投資型シフト・再エネ・産業 DX で拡大期色も。資源価格次第で収益振れ大。,2026-06-14T03:21:09.271Z
2872,0,28,72,0,成熟期、資源価格依存度が 5 大商社で最も高い。鉄鉱石市況サイクルで純利益が大きく変動。インド・東南アジアインフラ事業で拡大期色も。,2026-06-14T03:21:09.271Z
2853,0,45,55,0,非資源中心で安定成長、ROE 17.8% は商社業界トップ。ファミリーマート完全子会社化（2020 年）以降、小売事業の伸長が拡大期色を強める。,2026-06-14T03:21:09.271Z
2885,5,25,60,10,過去ニッケル事業損失の影響で衰退期スコア 10。ROE 8.8% は商社中最低、構造改革途上。再エネ・水素の新領域は拡大期色。,2026-06-14T03:21:09.271Z
2854,5,38,57,0,売上 3 年 CAGR +4.8%、ROE 14.2% は 5 大商社中位。穀物・電力の安定収益と北米農業の成長期待で拡大期色も。,2026-06-14T03:21:09.271Z
2996,0,52,48,0,日銀利上げサイクルで預貸利ザヤ拡大局面、拡大期色強い。ROE 8.8% は過去 10 年で最高水準。米モルガン・スタンレー持分も収益貢献。,2026-06-14T03:21:09.271Z
2999,0,55,45,0,売上 3 年 CAGR +7.4% は 3 メガバンクトップ、利上げ恩恵を最も享受する銘柄。Jefferies 提携・Olive 統合 App で拡大期色濃い。,2026-06-14T03:21:09.271Z
3034,0,38,52,10,ROE 7.8% は 3 メガバンク最下位、過去のシステム障害の評価ダメージが残る（衰退期スコア 10）。構造改革・Greenhill 統合で拡大期色も。,2026-06-14T03:21:09.271Z
3066,0,28,52,20,ROE 6.2% は金融セクター低位、グローバル投資銀行戦略の収益効率課題で衰退期スコア 20。新 NISA でリテールは拡大期色。,2026-06-14T03:21:09.271Z
3096,0,62,38,0,売上 3 年 CAGR +9.4%、ROE 13.5% で拡大期色濃い。海外 M&A 戦略が構造的成長エンジン。気候変動による災害リスク増加には注意。,2026-06-14T03:21:09.271Z
3088,0,35,55,10,ビッグモーター事案（2023）以降の業界信頼回復・代理店改革で衰退期スコア 10。海外展開は東京海上より遅く、ROE 8.4% は損保業界中位。,2026-06-14T03:21:09.271Z
3105,0,48,52,0,売上 3 年 CAGR +7.4% で拡大期色強い。日本橋・八重洲再開発、海外事業拡大、インバウンド回復で複数のドライバー。日銀利上げは逆風だがインフレ恩恵で相殺。,2026-06-14T03:21:09.271Z
3106,0,42,58,0,成熟期色濃いが、丸の内 100 年計画・常盤橋プロジェクト（Torch Tower）で拡大期色も。賃料単価は業界最高で、安定収益型の代表。,2026-06-14T03:21:09.271Z
3110,0,32,68,0,成熟期、長期保有型のオフィス賃貸モデルで安定収益。営業利益率 22.5% は業界トップ。海外展開なしで国内特化が独自ポジション。,2026-06-14T03:21:09.271Z
114,0,52,48,0,売上 3 年 CAGR +6.2%、物流施設の構造的成長で拡大期色強い。ROE 11.5% は不動産業界中位上位。住宅市場縮小局面でも、物流・海外で補う構造。,2026-06-14T03:21:09.271Z
116,0,55,45,0,MDC Holdings 買収（2024）で海外比率が一気に拡大、構造変化局面で拡大期色強い。ROE 11.8% は住宅業界トップクラス、プレミアム戸建の高粗利率が支え。,2026-06-14T03:21:09.271Z
3348,0,18,82,0,"国内通信市場は完全な成熟期、加入者数 8,500 万でほぼ飽和。NTT データのグローバル拡大と IOWN（光技術）が次世代成長軸で、データ事業比率拡大で再成長余地もあり。22 期連続増配（累進配当）が示す安定キャッシュフロー。",2026-06-14T03:21:09.271Z
3349,0,30,70,0,"国内通信市場の成熟は NTT と同じだが、ライフデザイン（金融・エネルギー・コマース）戦略で新セグメント成長余地大。ローソン買収（2024）で年間 +1,200 億円の利益貢献見込み、構造シフトで拡大期色も残る。",2026-06-14T03:21:09.271Z
3563,35,50,15,0,Arm 上場（2023）後の AI 半導体ブーム恩恵 + OpenAI 投資・Stargate プロジェクトで完全に新成長サイクル局面。投資先評価益の振れで業績ボラ高いが、AI 時代の上流投資ポジションで創業期色も再帯び。,2026-06-14T03:21:09.271Z
1382,25,45,30,0,EC は成熟だが、楽天モバイルが拡大期（赤字縮小局面）。フィンテック（楽天銀行 IPO 2023）が大きく成長中、楽天モバイル黒字化シナリオが現実化すれば 2027-28 年に全体構造変化期入り。,2026-06-14T03:21:09.271Z
1060,0,15,65,20,汎用化学（スチレン・コークス）は構造不況局面、産業ガス・医薬は成熟～拡大期で混在。事業ポートフォリオ転換中で全体としては成熟～衰退期色強い、転換成功なら拡大期復帰余地。PBR 0.92 倍は東証 PBR 改善要請の主要対象。,2026-06-14T03:21:09.271Z
967,0,10,30,60,Petro Rabigh 赤字・住友ファーマ精神疾患薬失敗で連結赤字、衰退期色強い。事業再編・人員削減で 2026-27 年黒字化計画、半導体材料（EUV レジスト）成功が再生の鍵。ハイリスク・ハイリターン銘柄の代表格。,2026-06-14T03:21:09.271Z
665,5,55,40,0,炭素繊維・電池セパレータ・水処理膜の機能性素材で世界トップシェア。Boeing/Airbus 生産回復・EV 拡大で拡大期色、汎用化学から脱却済みで構造的安定。長期成長余地あり、ROE 5.8% は低位だが質的に妥当。,2026-06-14T03:21:09.271Z
2983,0,35,60,5,GMS・SM は成熟だが、ドラッグストア（ツルハ統合 2024）・金融・モール・東南アジアで拡大期色。インフレ転嫁力で売上 +5% 成長維持、PB トップバリュ拡大で粗利改善も。営業利益率 2.8% は依然低位、構造改革の余地大。,2026-06-14T03:21:09.271Z
653,0,45,50,5,国内コンビニは成熟だが営業利益率 22.5% で高収益、北米コンビニ事業は Speedway 統合シナジー進行中で拡大期。ACT TOB 提案で構造転換ペース加速、イトーヨーカ堂売却で利益率さらに改善見込み。,2026-06-14T03:21:09.271Z
3562,0,65,35,0,ユニクロ海外（特に北米・欧州）は拡大期、中国は成熟期入り、GU は東南アジア・中国で拡大局面。営業利益率 16.2%・ROE 21.5% の質的に高い拡大期、世界アパレル小売トップへの到達余地大。,2026-06-14T03:21:09.271Z
742,15,65,20,0,海外スシロー（台湾・東南アジア）は拡大期初期、国内スシローは成熟前期、杉玉は launch ～拡大期境界。ROE 21.5% は外食業界トップ、訪日インバウンド + 海外展開の二軸成長で構造的拡大局面。,2026-06-14T03:21:09.271Z
2971,0,15,75,10,国内ロードサイド型アパレル市場は完全な成熟期、人口減・若年層の EC シフトで構造的縮小圧。アベイル・バースデイ・シャンブルで多店舗展開しつつ、地方シニア層という独自顧客層で差別化、配当 3.5% の安定収益型。,2026-06-14T03:21:09.271Z
