insight_temp_id,company_id,title,lede,body,generated_at
11,1858,CoWoS 後工程の他社参入リスク：TEL・AMAT のハイブリッドボンディング装置参入の波及,,CoWoS 後工程はディスコの薄化・ダイシング装置と他社のハイブリッドボンディング装置を組み合わせて構築される。後工程の組み合わせが変わると、ディスコの装置占有領域も影響を受けうるが、IR ではこの可能性への言及が浅い。,2026-05-22T10:00:00+09:00
12,1858,営業利益率 38% は WFE 業界比でも極端、これを支える構造的要因の特定が必要,,WFE 業界平均営業利益率 25–28% に対し、ディスコは 38% 超。装置と消耗品の組み合わせモデルが理由とされるが、これを定量分解した IR 説明が不足。利益率の持続性に対する投資家認識のずれが残っている。,2026-05-22T10:00:00+09:00
13,2702,PER 14.8 倍の低位放置：非半導体セグメントが評価を引き下げているか,,半導体セグメント単体の利益率は WFE 平均水準だが、PER は同業より 30% 以上低い。非半導体（FPD、印刷、グラフィックアーツ）の構造的低収益性が連結評価を圧迫している可能性。セグメント整理やカーブアウトの IR 議論が浅い。,2026-05-22T10:00:00+09:00
14,2702,枚葉式洗浄シェア 50% 超の防衛：先端ノードでの極小欠陥洗浄要求への対応,,1nm 世代以降の洗浄工程はパーティクル除去のしきい値が桁違いになる。SCREEN の現行プラットフォームの対応可能性と、ラム・TEL の参入余地の議論が IR から不足している。,2026-05-22T10:00:00+09:00
15,2702,中国売上 34% の構成：レガシー比率と先端比率の見えなさ,,中国売上の中で、規制対象になりやすい先端ノード向けがどの程度を占めるか開示が薄い。輸出規制強化局面のシミュレーション材料が投資家に不足している。,2026-05-22T10:00:00+09:00
16,2306,SiC 設備投資の減価償却負担がいつから売上で吸収されるか、中計の前提が見えにくい,,宮崎・福岡の SiC 工場稼働開始で減価償却費が増加しているが、SiC 売上の立ち上がり前提（顧客採用ラインの確定状況、車載 LTA の数量・価格条件）が中計開示で粗い。2027 年度を境に営業利益率がどう推移するかの感応度が高い。,2026-05-22T10:00:00+09:00
17,2306,SiC 競合（ST・インフィニオン・WolfSpeed）との価格競争激化の織り込み,,SiC ウェハ価格は 2024–2025 年で 20–30% 下落、デバイス価格も追随。ロームの SiC 採算がこれをどこまで吸収できるかの定量議論が IR から不足。,2026-05-22T10:00:00+09:00
18,2306,PBR 0.84 倍と東芝デバイス&ストレージとの再編観測：合弁の本気度がどこまであるか,,東芝デバイス&ストレージとの SiC 製造合弁が継続するなか、PBR が 1 倍を割る水準で放置されている。M&A・再編シナリオの議論が IR では極めて慎重で、投資家との温度差がある。,2026-05-22T10:00:00+09:00
19,2085,Broadcom・Marvell 型のカスタム ASIC ビジネスモデル：日本企業として競合できるか,,Broadcom・Marvell はハイパースケーラー向けカスタム ASIC で爆発的な成長。ソシオネクストは規模で 1 桁以上劣位だが、自動車・国内データセンタという比較優位領域がある。グローバル競合との比較分析が IR から不足。,2026-05-22T10:00:00+09:00
20,2085,NRE 売上の繰延圧迫リスク：プロジェクト遅延が利益圧迫に直結する構造,,NRE（非経常エンジニアリング費）売上は顧客プロジェクトのマイルストーンに連動。データセンタ顧客のプロジェクト遅延が短期業績を大きく動かす構造で、四半期業績ブレ要因となる。,2026-05-22T10:00:00+09:00
21,2085,量産ロイヤルティ比率の開示粒度：将来の収益安定性を示す核指標が見えない,,ファブレス事業の本質的価値は『NRE 後の量産ロイヤルティ』にあるが、現在の売上構成での比率と将来見通しが粗く開示されている。投資家が中長期収益性を測れない状態。,2026-05-22T10:00:00+09:00
22,1006,シリコンウェハの世代交代：450mm 議論再燃の可能性と設備投資負担,,300mm ウェハが長期主流である前提が業界共通認識だが、AI 半導体需要急増で 450mm 移行議論が水面下で再燃する可能性。移行が現実化した場合、信越とサムコの設備投資負担が桁違いになる。IR ではこのシナリオへの言及がない。,2026-05-22T10:00:00+09:00
23,1006,PVC 事業のキャッシュフロー依存：脱炭素規制強化シナリオが過小評価されているか,,営業利益の 40% 弱を稼ぐ PVC 事業は北米シェールガス価格優位に支えられているが、北米脱炭素政策・カーボン税導入で利益構造が変わるリスクが IR で過小評価されている可能性。,2026-05-22T10:00:00+09:00
24,1006,フォトレジストの先端 EUV シェア：JSR・TOK との競争の見えにくさ,,EUV レジストは JSR・TOK が先行する中、信越のシェアと先端ノード採用状況が IR では断片的にしか開示されない。電子材料セグメント内の構造分解が投資家視点で不足。,2026-05-22T10:00:00+09:00
25,2270,中国売上比率 64% の独自構造：規制強化シナリオでの感応度,,中国半導体投資の現地調達需要に乗る独自ポジションだが、米中対立激化で米系装置メーカー（AMAT・ラム）への部材供給と中国系メーカー向け供給の両立が困難になるシナリオが存在する。両エクスポージャーの感応度が IR で十分整理されていない。,2026-05-22T10:00:00+09:00
26,2270,中国子会社 USCi 上場後の本体への利益配分構造,,中国子会社の現地上場で資金調達余力は増したが、本体への利益還流ルートと配当方針の透明度が低い。連結利益への寄与度がどう変化するかの議論が IR から不足。,2026-05-22T10:00:00+09:00
27,2270,PER 12.4 倍：中国エクスポージャーへの市場ディスカウントが妥当かどうか,,売上成長 19.8% に対して PER 12 倍は同業比でディスカウント水準。中国エクスポージャーリスクのディスカウントが過剰か、合理か、市場参加者で評価が分かれている。,2026-05-22T10:00:00+09:00
28,2201,AI 半導体高速 I/O 試験：通信計測器が半導体テストの周辺領域を取り込みつつある,,GPU・HBM・光トランシーバー向け高速信号試験はアドバンテスト型のロジックテスタとは別に、通信計測器系の測定機が活躍する領域。アンリツがこの領域でアドバンテストと競合補完する関係性が IR で十分整理されていない。,2026-05-22T10:00:00+09:00
29,2201,5G から 6G 投資への踊り場長期化リスク,,5G 設備投資はピークアウト、6G の本格立ち上がりは 2028 年以降と見られる。踊り場期間の業績低空飛行が長期化するリスクが市場で過小評価されている。,2026-05-22T10:00:00+09:00
30,2201,PQA（食品安全）事業の連結評価圧迫,,PQA セグメントは安定収益源だが営業利益率 8% 台で計測事業の利益率を引き下げる。カーブアウトや事業再編の議論が IR から不足。,2026-05-22T10:00:00+09:00
31,2183,車載在庫調整の『出口』はディストリビューター在庫より Tier1 直販比率に先に出る,,車載半導体の回復シグナルとして市場はディストリビューター在庫週数を追うが、ルネサスは Tier1 への直販比率が高く、回復局面では直販受注の戻りが先行する構造。販路別の受注開示が四半期ごとに揃っておらず、回復の初動を市場が遅れて織り込む可能性がある。,2026-06-10T19:00:00+09:00
32,2183,Dialog・Altium 買収のクロスセル効果が IR で定量化されていない,,アナログ（Dialog）と設計ツール（Altium）の買収により『MCU＋アナログ＋設計環境』のセット提案が可能になったが、クロスセルによる追加売上・解約率の変化が開示されていない。買収額合計 1 兆円超に対する回収進捗を検証する材料が不足しており、のれん減損リスクの評価が難しい。,2026-06-10T19:00:00+09:00
33,2183,中国ローカル MCU の台頭は民生から車載へ、単価下落の時間差侵食,,中国の MCU 新興勢は民生・家電向けで急速にシェアを取り、単価下落が先行している。32bit 車載 MCU は認証障壁が高く即座の代替は起きないが、中国系 OEM の現地調達方針が強まると、中国売上 23% の構成が単価・数量の両面で侵食されるリスクが中期的に積み上がる。,2026-06-10T19:00:00+09:00
34,682,PBR 0.7 倍は『九州新工場の償却先行』をどこまで織り込んだ水準か,,佐賀・伊万里の 300mm 新工場投資は減価償却が利益に先行して乗る構造で、市況底とのダブルパンチが現在の低 ROE の主因。償却負担のピークアウト時期と市況回復が重なる場合、利益の戻りは市場予想より急になる。設備投資の回収カーブの開示が粗く、ここに認識ギャップがある。,2026-06-10T19:00:00+09:00
35,682,LTA（長期契約）の価格改定が 2026–27 年に集中、スポット価格との乖離が表面化する,,コロナ後の逼迫期に締結した LTA の更改時期が 2026–27 年に集中する。足元のスポットウェハ価格は LTA 価格を下回っており、更改時の価格リセットが売上単価を段階的に押し下げるリスクがある。一方で AI 向け先端ウェハ（エピ付き）はプレミアム維持の余地があり、ミックス開示の充実が評価の鍵。,2026-06-10T19:00:00+09:00
36,682,中国ウェハメーカーの 300mm 量産は『レガシー専用』のうちに収まるか,,中国勢の 300mm ウェハ量産能力は急拡大しているが、品質要求の緩い成熟ノード向けに留まる。問題は中国国内ファブの装置・材料国産化方針により、SUMCO の中国売上 14% が構造的に置き換わるシナリオ。先端用途での参入障壁（欠陥密度・平坦度）は依然高いが、レガシー側の数量喪失は価格競争を激化させる。,2026-06-10T19:00:00+09:00
37,2704,EUV ブランクス独占の持続性：AGC の追い上げと『歩留まり格差』の実態,,EUV マスクブランクスは HOYA がほぼ独占し AGC が第 2 供給者の地位を狙う構図が続く。参入障壁の本体は低欠陥率の歩留まりにあり、Hi-NA 世代では要求がさらに上がるため格差はむしろ開く可能性がある。一方で顧客側（ファウンドリ・マスクメーカー）はデュアルソース化圧力を強めており、独占利益率の天井が政策的に抑えられるリスクは残る。,2026-06-10T19:00:00+09:00
38,2704,複合企業ディスカウントの逆転：ライフケアの安定が半導体価値をプレミアム化している,,通常、複合企業はディスカウント評価されるが、HOYA はライフケアの安定キャッシュフローが半導体側の変動を吸収するため、半導体専業よりも高い PER を許容されてきた。この『逆コングロマリットプレミアム』は金利上昇局面で剥落しやすく、PER 35 倍の持続条件としてライフケアの利益率維持が思いのほか重要。,2026-06-10T19:00:00+09:00
39,2704,HDD ガラス基板はニアライン HDD 投資の遅行受益、SSD 代替論の再燃が逆風,,データセンタのニアラインストレージ投資回復で HDD 用ガラス基板の数量が戻る局面。ただし QLC SSD の大容量化・価格下落が想定より速い場合、HDD の中期需要曲線そのものが下振れる。基板はガラス比率上昇（アルミからの置換）という独自ドライバを持つため、HDD 台数減少とガラス化進行の綱引きの開示が不足している。,2026-06-10T19:00:00+09:00
40,2084,中国売上 35% の規制感応度は TEL より一段高い構造,,バッチ式成膜装置は中国の成熟ノード投資との親和性が高く、中国売上比率が WFE 大手の中でも突出している。米輸出規制の適用範囲が成熟ノード向け装置まで拡大するシナリオでは、売上への直撃度が TEL・SCREEN より大きい。規制ニュースに対する株価ベータの高さはこの構造の反映であり、中国比率の段階的な引き下げ計画の有無が中期評価を分ける。,2026-06-10T19:00:00+09:00
41,2084,NAND 300 層超で成膜工程は線形以上に増えるが、単価競争も同時に始まる,,NAND の積層数が 300 層を超える世代では成膜・エッチングの工程数が非線形に増加し、装置需要の構造的拡大が見込まれる。ただし高アスペクト比成膜ではラムリサーチが対抗装置を強化しており、寡占が崩れると数量増を単価下落が相殺する展開もありうる。受注の数量・単価分解の開示が乏しく、成長の質を外部から検証しにくい。,2026-06-10T19:00:00+09:00
42,2084,KKR 売出し後の需給オーバーハングは解消したか：浮動株比率の変化を追う,,再上場後、旧親会社系ファンドの段階的売出しが株価の上値を抑えてきた経緯がある。売出しの完了状況と浮動株比率の変化は、ファンダメンタルズと無関係に株価のレンジを決める要因として残る。指数組入れ（TOPIX ウェイト見直し等）のイベントと重なるタイミングが需給の転換点になりやすい。,2026-06-10T19:00:00+09:00
43,1005,『インテル依存』からの脱却度合いが開示から読み取れない,,イビデンの FC-BGA はインテル向けで育った歴史があり、同社の設備投資計画の振れに業績が振り回されてきた。AI 向け顧客（GPU・カスタム ASIC 勢）への多角化が進んでいるとされるが、顧客別構成の開示はなく、脱インテル依存の進捗を外部から定量検証できない。インテルのファウンドリ戦略迷走が続く中、この開示不足はディスカウント要因。,2026-06-10T19:00:00+09:00
44,1005,減価償却ピークと AI 基板単価の交点：2027 年の利益カーブが評価の分水嶺,,河間・大野の新工場償却が 2026–27 年にピークを迎える一方、AI 向け大型基板は単価が従来品の数倍。償却負担を単価ミックスが上回る交点がいつ来るかで、PER の見え方が劇的に変わる。会社計画は保守的な償却前提を置いている可能性があり、上振れ余地と下振れ材料（歩留まり立ち上げ遅延）が同居する。,2026-06-10T19:00:00+09:00
45,1005,ガラスコア基板への技術転換は中期の地殻変動リスク,,業界ではビルドアップ樹脂基板からガラスコア基板への転換ロードマップが語られ始めている。ガラス化が本格化すると、既存の樹脂基板での競争優位（微細配線・多層化技術）の一部がリセットされ、ガラス加工に強い新規参入者（や HOYA・AGC のような素材勢）との競争構造に変わりうる。イビデンのガラスコア対応の開発進捗は IR でほぼ語られていない。,2026-06-10T19:00:00+09:00
46,2697,プローバは『テスタの影』で語られるが、HBM の KGD 要求で独自の成長カーブを持つ,,市場はテスト需要をアドバンテストのテスタ売上で代理観測するが、HBM のような積層デバイスでは KGD（Known Good Die：積層前の良品保証）要求が強まり、プローバの稼働工程はテスタとは別の伸び方をする。プローバ首位の東京精密はこの構造変化の直接受益者だが、時価総額が小さく証券会社のカバレッジも薄いため、織り込みが遅行しやすい。,2026-06-10T19:00:00+09:00
47,2697,ディスコとの比較で見える『消耗品比率』の差が利益率の質の差,,同じ後工程装置でも、ディスコはブレード等の消耗品が収益の安定層を形成するのに対し、東京精密は装置売り切りの比重が高く、サイクル下降局面の利益率耐性で見劣りする。営業利益率 17.8% 対ディスコ 38% の差は技術力だけでなくビジネスモデル構造の差であり、消耗品・サービス比率を高める施策の有無が長期評価の論点。,2026-06-10T19:00:00+09:00
48,2697,計測機器事業の分離価値：コングロマリットディスカウントか相互補完か,,三次元測定機は国内では高シェアだが半導体装置とのシナジーは限定的で、SOTP（部門別評価）では分離した方が高く評価される可能性がある。一方で半導体不況期に計測が下支えしてきた歴史も事実。アクティビストの保有が観測される局面では事業ポートフォリオ再編が株価材料になりやすい。,2026-06-10T19:00:00+09:00
49,1058,EUV レジストの次の戦争は『メタル系・乾式』への世代交代で再戦になる,,化学増幅型レジストで築いた現在の地位は、メタルオキサイドレジスト（Inpria 系）やラムリサーチの乾式レジスト（dry resist）が Hi-NA 世代で採用された場合に再戦を強いられる。TOK は次世代材料の開発状況をほぼ開示しておらず、現行 EUV レジストの優位が次世代に持ち越せるかは外部から判断できない。材料の世代交代は装置より静かに、しかし不可逆に起きる。,2026-06-10T19:00:00+09:00
50,1058,『装置と同じサイクル株』扱いされるバリュエーションの歪み,,レジストはウェハ投入量（生産量）連動であり、設備投資（WFE）連動の装置株より業績の振れが小さい。それにもかかわらず株価は SOX 指数と高相関で売買され、装置株と同じ振幅で動く傾向がある。この『ビジネスモデルと株価ボラティリティの不一致』は、装置株の調整局面でレジスト株を仕込む逆張り機会の源泉になってきた。,2026-06-10T19:00:00+09:00
51,1058,JSR 非公開化後、『残された上場レジスト大手』としての希少性と再編可能性,,レジスト世界大手の一角だった JSR が産業革新投資機構（JIC）傘下で非公開化されたことで、レジスト専業に近い上場大手は TOK・信越（事業の一部）に絞られた。国策ファンドによる材料産業の再編が続くシナリオでは、TOK 自身が再編の対象（買収プレミアム）になる可能性が市場で意識されやすく、下値を支える要因として機能している。,2026-06-10T19:00:00+09:00
52,966,石化分離の実行速度が『化学→半導体材料』の評価替えの鍵,,会社は石油化学事業の分離・JV 化を掲げており、実現すれば売上構成に占める半導体・電子材料比率が一気に高まる。SOTP（部門別評価）では半導体材料部門に化学平均を大きく上回るマルチプルが付く余地があり、分離の発表・実行が評価替えのトリガーになる。逆に市況悪化で分離交渉が停滞すると、複合企業ディスカウントが長期化する。,2026-06-10T19:00:00+09:00
53,966,AI パッケージ（CoWoS 系）材料での実質シェアが開示から見えない,,後工程材料は品目が多岐にわたり（スラリー・封止材・ダイボンディングフィルム等）、AI 先端パッケージ向けの実質的な中身・シェアが外部から検証できない。『AI 関連売上』の定義も各社バラバラで、レゾナックの後工程材料の競争力を定量比較する材料が不足。開示の解像度が上がるだけで再評価される余地がある。,2026-06-10T19:00:00+09:00
54,966,日立化成買収で膨らんだ有利子負債が金利上昇局面の重石,,"旧日立化成の買収（約 9,600 億円）で積み上がった有利子負債は、低金利前提では問題化しなかったが、金利上昇局面では利払い負担と財務制限条項が資本政策（増配・自社株買い・成長投資）の自由度を縛る。石化分離による負債圧縮が財務面でも転換点になる構造で、分離の成否に評価が二重に依存している。",2026-06-10T19:00:00+09:00
55,1250,VYVANSE 後発品参入後の収益力低下が市場予想を上回る可能性,,"ADHD 治療薬 VYVANSE は 2023 年から米国で後発品参入が本格化。2025/3 期は売上 18% 減収だが、26/3 期はさらに 25% 程度減収する見通し。IR は新規パイプライン（TAK-861, TAK-279）で吸収可能と説明するが、上市タイミングのラグが大きく、2026-27 年度の業績は市場予想を下回る可能性。",2026-05-22T10:00:00+09:00
56,1250,TAK-861（オレキシン作動薬）のナルコレプシー第 3 相成功確度,,次の柱として最重要のオレキシン作動薬 TAK-861。前段の TAK-994 は肝障害で中止になっており、TAK-861 の安全性プロファイル次第で武田の中期業績見通しが大きく変わる。第 3 相結果は 2026 年後半が予定。IR では成功前提の説明が中心で、失敗時の感応度の議論が薄い。,2026-05-22T10:00:00+09:00
57,1250,有利子負債削減の優先順位と研究開発投資のトレードオフ,,シャイアー買収以降、有利子負債削減を最重要 KPI として運用。一方で、メガファーマ世界平均 R&D 比率 20% に対し武田は 16% 台で、長期競争力への影響が論点。負債削減完了後（2027 年予定）の R&D 比率引き上げ計画が IR で明示されていない。,2026-05-22T10:00:00+09:00
58,1283,エンハーツ単剤依存度の高さと、AstraZeneca とのアライアンス利益配分,,エンハーツが連結売上の 36% を占める単剤依存構造。AstraZeneca とのプロフィットシェア契約により、エンハーツ売上のうち実質取り分は約 50%。エンハーツに何かあった場合の感応度が極めて高く、IR では他 ADC（DXd プラットフォーム）の進捗で代替性を強調するが、単剤集中リスクの定量議論が浅い。,2026-05-22T10:00:00+09:00
59,1283,新 ADC 3 剤の上市タイミング：商業的成功確率の織り込み,,DS-7300（TROP2-ADC）、DS-6051（HER3-ADC）、DS-8401（HER2-DXd 次世代）の 3 剤が 2025-2027 年に上市予定。エンハーツに続くブロックバスター候補だが、競合（Gilead、Pfizer）も同領域に参入。エンハーツ並みの売上を全 3 剤で達成する前提が市場で過大に織り込まれている可能性。,2026-05-22T10:00:00+09:00
60,1283,PER 38 倍の前提：R&D の継続的成功 + 米国薬価規制の織り込み不足,,PER 38 倍はメガファーマ世界平均 18 倍を大きく上回り、新薬パイプライン 100% 成功を織り込むレベル。一方で米国 IRA（薬価交渉対象拡大）の影響、エンハーツ含む既存品の特許切れタイミング（2030 年代前半〜）への対応議論は IR で薄い。,2026-05-22T10:00:00+09:00
61,1251,イクスタンジ売上ピーク（2027 年）後の崖、後継品の規模感,,"イクスタンジは 2027-28 年に米国・欧州で物質特許切れ。後継候補のパドセブは順調だが、イクスタンジ売上 7,800 億円を単独で代替する規模ではない。ベオーザ（更年期）は適応症が新規で立ち上がりが想定より遅延中、ファースト・イン・クラスのプロモーション負担が利益率を圧迫。",2026-05-22T10:00:00+09:00
62,1251,アイベリックバイオ買収（2023）の減損リスク,,"2023 年に約 8,000 億円で買収したアイベリックバイオ。主力 IZERVAY（地図状萎縮治療薬）の売上が計画比未達で、買収時に計上したのれん約 5,000 億円の減損圧力が継続。減損が発生した場合、2026/3 期の最終利益に大きな影響。",2026-05-22T10:00:00+09:00
63,1251,Primary Focus 戦略の選択と集中の進捗,,コア領域 5 つに資源集中する『Primary Focus』戦略を 2023 年から実行中だが、進捗開示が定性的。非コア領域の撤退・売却計画の具体が IR で見えにくく、構造改革のスピード感が市場の織り込みと乖離している可能性。,2026-05-22T10:00:00+09:00
64,1258,レカネマブの患者数拡大ペースが市場予想より遅い背景,,"レカネマブ（LEQEMBI）の米国売上は 2025/3 期で 1,200 億円相当、市場予想（2,000 億円超）を大きく下回る。理由は MRI 設備整備の遅れ、ARIA（脳浮腫）副作用への医師警戒、保険償還の不透明性。IR では年次ガイダンスが連続下方修正されており、患者数拡大ペースの本格回復タイミングが不透明。",2026-05-22T10:00:00+09:00
65,1258,Biogen との利益配分の不透明性,,レカネマブは Biogen と 50:50 のプロフィットシェアだが、開発費は事実上エーザイがリード。利益局面でのシェア配分構造、特に Biogen 経営難（ADUHELM 失敗の影響継続）でアライアンス見直しが起きた場合の影響が IR で明示されていない。,2026-05-22T10:00:00+09:00
66,1258,レンビマ独占特許切れ（2028 年予定）への準備,,現在の利益柱レンビマは 2028 年に米国・欧州で物質特許切れ。レカネマブの本格拡大がそれまでに進まないと、業績は大きな崖を迎える。IR でこの『パテントクリフ』のタイミングと感応度の説明が薄い。,2026-05-22T10:00:00+09:00
67,1256,Roche グループとの利益配分構造の経営自由度への影響,,中外の海外売上のほぼ全ては Roche グループ経由で、利益配分はアライアンス契約による。グループ依存度が高い構造で、長期的に Roche 戦略の影響を直接受ける。一方で R&D 投資の効率は高く、独自パイプラインの自社販売余地もあり、この緊張関係の議論が IR で抽象的。,2026-05-22T10:00:00+09:00
68,1256,ヘムライブラ後の海外ロイヤルティの次の柱,,現在の海外ロイヤルティ売上の中核はヘムライブラ（血友病）、エンスプリング（視神経脊髄炎）。次世代の大型化候補としては、抗体改変技術 Recycling Antibody / Sweeping Antibody から派生する新規分子があるが、上市タイミングが 2028 年以降。間の踊り場期間の業績モメンタムが論点。,2026-05-22T10:00:00+09:00
69,1256,PBR 5.4 倍 / ROE 19.4% の維持可能性,,国内製薬で最高水準の収益性は、Roche グループの規模を背景とした R&D 効率と海外ロイヤルティ依存に支えられる。バイオシミラー競合の本格化と Roche のグローバル戦略次第で、現在の高水準が長期維持できるかは不確実。,2026-05-22T10:00:00+09:00
70,1253,HIV ロイヤルティの長期持続性：ViiV / GSK ジェネリック影響,,海外ロイヤルティの大半は ViiV（GSK 子会社）の HIV 治療薬。ドルテグラビル（Tivicay 等）の物質特許は 2027 年に米国で切れ、ジェネリック参入で塩野義のロイヤルティ収入が大幅減少する可能性。IR ではこの感応度の説明が薄い。,2026-05-22T10:00:00+09:00
71,1253,次世代パイプラインの規模感,,"次の柱候補として、自社開発の S-892216（感染症長期作用型）、S-005151（中枢神経）など。いずれも 2027-29 年上市予定だが、ピーク売上想定が現在の HIV ロイヤルティ規模（年 1,500 億円超）に届く前提が市場に共有されていない。",2026-05-22T10:00:00+09:00
72,1253,PER 11 倍の割安感は『HIV ロイヤルティ崖』を半分織り込んだ水準か,,PER 11.4 倍は国内大手平均 18 倍を 37% 下回り、配当利回り 3.4%。割安にも見えるが、HIV ロイヤルティの 2027 年以降の崖を半分織り込んだ水準とも解釈できる。次世代パイプライン進捗次第で再評価余地。,2026-05-22T10:00:00+09:00
73,1269,TIS 領域での Boston Scientific・Medtronic との競合状況,,TIS（経カテーテル）市場は Boston Scientific・Medtronic との競合が激しく、テルモはアジア市場で優位、欧米では追う立場。次世代血管内デバイス（薬剤溶出ステント、IVUS 等）の上市タイミング次第でシェア構造が変動。,2026-05-22T10:00:00+09:00
74,1269,中国 VBP（集中購買）の医療機器への波及,,中国は医療機器でも『集中購買（VBP）』を医薬品に続いて拡大中。輸血関連機器・カテーテル・糖尿病ケアの中国市場シェアが価格圧縮で利益率を圧迫する可能性。中国売上比率の開示が概況のみで詳細不足。,2026-05-22T10:00:00+09:00
75,1269,輸血ビジネスの長期構造変化：献血代替技術の影響,,"再生医療・遺伝子治療の進展で、長期的に従来輸血の需要が縮小する可能性。テルモの血液・細胞テクノロジー事業は売上 2,300 億円規模で、構造変化の感応度議論が IR で薄い。",2026-05-22T10:00:00+09:00
76,1438,バイオ CDMO 投資の回収タイミング,,"バイオ CDMO 事業は累計 3,500 億円超の設備投資を実施中（米国デンマーク等）。減価償却負担と稼働率立ち上がりのタイムラグで、利益率の本格回復は 2027 年度以降の見通し。CDMO 市場の世界的競合（Lonza、Samsung Biologics、WuXi Biologics）との比較感応度が IR で薄い。",2026-05-22T10:00:00+09:00
77,1438,印刷事業（ビジネスイノベーション）の縮小と再編,,売上 28% を占める印刷事業は構造的縮小領域。Xerox 統合後の再編進捗が IR で具体性に欠ける。カーブアウトや事業売却の選択肢が明示されておらず、ヘルスケア中心への転換が遅れて見える。,2026-05-22T10:00:00+09:00
78,1438,WuXi 規制の追い風がどこまで CDMO 受注に効くか,,米国 BIOSECURE 法案で中国系 CDMO（WuXi 等）への米国製薬の依存が制限される動き。富士フイルム CDMO への顧客シフトの可能性があるが、具体的受注ニュースは限定的。本格寄与は 2027 年以降か。,2026-05-22T10:00:00+09:00
79,1213,Bill One 黒字化タイミングと営業利益への寄与,,Bill One は売上比率 20% まで成長したが、営業利益はまだマイナス。先行投資型の典型的な SaaS パターンで、黒字化タイミングが連結業績に直結する。IR の中期計画では 2027 年度の黒字化を示唆しているが、想定マーケティング費の継続性と新規顧客獲得の鈍化リスクが論点。,2026-05-22T10:00:00+09:00
