company_id,verdict,score,rationale,updated_at
2183,割安,64,PER 14.2 倍は車載半導体グローバル大手（NXP・インフィニオンの 17–18 倍）に対して約 2 割のディスカウント。在庫調整の出口が見え始める局面では見直し余地が大きい。ただし車載依存度の高さと買収のれんの重さが恒常的なディスカウント要因として残る。,2026-06-14T03:21:09.271Z
682,割安,71,PBR 0.74 倍は過去 10 年レンジ（0.7–2.5 倍）の下限近辺。世界シェア 2 位の寡占的地位と AI 先端ウェハの回復余地を考慮すると、サイクル底値圏の割安水準と判断。ただし回復時期の不確実性が高く、LTA 更改の価格リセットが重なると見直しが遅れる『忍耐が必要な割安』。,2026-06-14T03:21:09.271Z
2704,やや割高,31,PER 35.8 倍は精密機器セクター平均 24 倍を大きく上回る。EUV ブランクス独占とライフケアの安定性を織り込んだクオリティプレミアムであり不合理な水準ではないが、金利上昇局面ではプレミアム剥落のリスクがあり、新規に入るには分の悪い価格帯。,2026-06-14T03:21:09.271Z
2084,ほぼ妥当,49,PER 19.2 倍は国内装置セクター平均 22 倍をやや下回る。メモリ投資回復の恩恵は業績にまだ完全には乗っていないが、中国売上比率の高さによる規制リスクディスカウントを考慮すると、現水準は概ね妥当圏。規制リスクの顕在化と回復の綱引き。,2026-06-14T03:21:09.271Z
1005,ほぼ妥当,45,PER 27.6 倍は償却先行で利益が圧縮された局面の数字であり、見かけほど割高ではない。AI 基板の量産歩留まりが想定通りに立ち上がれば 2027 年利益ベースの PER は大きく低下するが、その実現確度に賭ける投資であり、現水準は期待と リスクが拮抗する妥当圏。,2026-06-14T03:21:09.271Z
2697,ほぼ妥当,55,PER 18.4 倍は装置セクター平均を下回り、計測機器の安定性を含めれば実質的なディスカウント。プローバの構造成長（HBM・KGD）が市場に再評価されれば見直し余地があり、妥当圏の中ではやや割安寄り。小型株ゆえの流動性ディスカウントが残る点は留意。,2026-06-14T03:21:09.271Z
1058,ほぼ妥当,53,PER 22.1 倍は化学セクター平均より高いが、半導体数量に連動する消耗材の安定性と EUV ミックス改善を考慮すれば妥当。素材株の中では希少な『半導体生産量への純粋プレー』であり、装置株調整局面での相対的な耐性が価値。,2026-06-14T03:21:09.271Z
966,割安,62,PER 16.8 倍・PBR 1.2 倍は半導体材料企業としては大幅なディスカウント。市況事業の混在と有利子負債の重さが原因であり、石化分離が実行されれば『化学→半導体材料』の評価替え余地が大きい。イベントドリブン型の割安で、カタリストの時期が読めない点がリスク。,2026-06-14T03:21:09.271Z
1250,ほぼ妥当,55,PER 17.4 倍は国内大手平均 18 倍と同水準、配当利回り 4.6% を勘案すれば下値抵抗感あり。一方で VYVANSE 減収と TAK-861 不確実性を考えるとアップサイドも限定的。フェアバリュー圏。,2026-06-14T03:21:09.271Z
1283,やや割高,30,PER 38.4 倍はメガファーマ世界平均 18 倍を 113% 上回る。ADC プラットフォームのプレミアムを認めても、新 ADC 3 剤の商業的成功と米国薬価規制の影響を考えると織り込み過多。配当利回り 0.9% も国内大手として低い。,2026-06-14T03:21:09.271Z
1251,ほぼ妥当,50,PER 24.6 倍は国内大手平均 18 倍を 37% 上回るが、イクスタンジの収益力プレミアムを反映。配当利回り 4.2% で下値抵抗感あり。一方でイクスタンジ崖の感応度が高く、アップサイドも限定的。,2026-06-14T03:21:09.271Z
1258,やや割高,35,PER 42.8 倍は国内平均の 2 倍超で、レカネマブ成功と医療体制整備が想定通りに進む前提を織り込む。患者数拡大の遅延リスクとレンビマ崖を勘案すると織り込み過多の可能性。,2026-06-14T03:21:09.271Z
1256,ほぼ妥当,48,PER 28.2 倍は国内平均 18 倍を上回るが、営業利益率 38% / ROE 19.4% の収益性プレミアムを反映。現株価は質的優位を概ね織り込んだ水準。,2026-06-14T03:21:09.271Z
1253,割安,66,PER 11.4 倍は国内大手平均 18 倍を 37% 下回り、ROE 11% と配当利回り 3.4% を勘案すれば割安水準。HIV ロイヤルティ崖を考慮しても下値抵抗感あり。,2026-06-14T03:21:09.271Z
1269,ほぼ妥当,47,PER 32.4 倍は医療機器グローバル平均 28 倍を上回るが、消耗品リカーリング構造と新興国成長余地のプレミアム反映。フェアバリュー圏。,2026-06-14T03:21:09.271Z
1438,ほぼ妥当,54,PER 18.4 倍は多角化企業として違和感ない水準。CDMO 拡大局面とヘルスケア比率上昇のプレミアム余地があるが、印刷事業の構造的縮小がディスカウント要因。,2026-06-14T03:21:09.271Z
1213,ほぼ妥当,50,PER 52 倍は SaaS 国内大手平均 55 倍と同水準。売上 CAGR +19.8% と営業利益率 12% の組み合わせは妥当な評価。Bill One 黒字化と Contract One 立ち上がりで上方修正余地あり。,2026-06-14T03:21:09.271Z
962,やや割高,34,PER 124.8 倍は SaaS 国内大手平均 55 倍を大きく上回り、将来の高利益率到達を強く織り込む。売上成長 28% は評価できるが、海外投資負担と競合激化を勘案するとプレミアム水準。,2026-06-14T03:21:09.271Z
1231,ほぼ妥当,47,営業赤字のため PER は算出不能。PSR ベース（株価/売上）で 4 倍は SaaS 国内ピア 4-6 倍とほぼ同水準。黒字化タイミングの蓋然性と Money Forward との価格競争次第で再評価余地。,2026-06-14T03:21:09.271Z
911,やや割高,38,PER 58.4 倍は SaaS 大手平均 55 倍とほぼ同水準。営業利益率 22% の収益性プレミアムを認めても、法改正需要のピークアウトリスクと PBR 14 倍の織り込みを勘案すると、やや先行織り込みの印象。,2026-06-14T03:21:09.271Z
1228,ほぼ妥当,53,PER 32.4 倍は SaaS セキュリティ国内ピア平均 35 倍とほぼ同水準。営業利益率 17% / ROE 18% の収益性は健全で、Microsoft 365 普及に追従する底堅さも織り込まれた水準。,2026-06-14T03:21:09.271Z
1218,ほぼ妥当,51,PER 28.4 倍は SaaS 国内大手平均 55 倍の半分水準。Chatwork 成熟化を織り込んだ評価で、kubell BPaaS の立ち上がり次第で上振れ余地。下値は配当ゼロでも事業安定性が支える。,2026-06-14T03:21:09.271Z
2437,ほぼ妥当,55,PER 9.8 倍は世界自動車大手平均 8-10 倍と概ね同水準で、ROE 13% / 営業利益率 11.8% の質を考慮すれば妥当圏。為替円安の追い風が一段落すれば PER 一段切り下げの可能性、EV 戦略の進捗次第で再評価余地。,2026-06-14T03:21:09.271Z
2473,割安,68,PER 7.4 倍・PBR 0.68 倍は世界 OEM 平均より 20% 程度ディスカウント。二輪の高収益性を別建てで評価すれば実質 PER は 5-6 倍水準。日産提携・AFEELA の進捗で再評価余地。配当利回り 4.1% も支え。,2026-06-14T03:21:09.271Z
2435,割安,71,PER 5.2 倍・PBR 0.32 倍は世界 OEM 最低水準。ただし営業利益率 2.4% という構造課題があり、割安 = 買いとは限らない。ホンダ提携・コスト削減の実行が確認できれば、リスク・リターンは魅力的。,2026-06-14T03:21:09.271Z
2474,ほぼ妥当,48,PER 11.2 倍は OEM 平均より高めだが、ROE 13.8% / 売上成長 9.8% の質を加味すれば妥当。インド市場の成長期待を相当織り込んだ水準で、上振れにはインド経済の更なる加速が必要。,2026-06-14T03:21:09.271Z
2475,割安,64,PER 7.1 倍・PBR 0.92 倍は OEM 平均比 15% 程度ディスカウント。北米偏重リスク・EV 戦略遅れを織り込んだ水準で、為替円安局面の利益増を考えれば下値は限定的。配当 3.6% も支え。,2026-06-14T03:21:09.271Z
2469,割安,66,PER 6.8 倍・PBR 0.58 倍は OEM 中位水準。配当 5.2% は魅力的。プレミアム戦略の進捗と為替動向次第で PBR 0.8-1.0 倍までの戻り余地。,2026-06-14T03:21:09.271Z
2275,ほぼ妥当,50,PER 14.8 倍は Tier1 平均並み、ROE 9.8% / 営業利益率 8.2% を考慮すれば妥当圏。電動化シフトの恩恵を相当織り込んだ水準で、SiC 量産進捗・電動化売上の伸び次第で上振れ余地。,2026-06-14T03:21:09.271Z
2468,ほぼ妥当,47,PER 11.5 倍・PBR 0.92 倍は Tier1 中位。事業転換中の不透明性が PER を抑えており、e-Axle 立ち上がりの進捗で評価が変わる。配当 3.4% は支え。,2026-06-14T03:21:09.271Z
2888,ほぼ妥当,52,PER 12.4 倍・PBR 1.18 倍は 5 大商社平均並み、ROE 12.2% / 配当 3.5% で妥当圏。バフェット効果で下値硬く、資源価格次第で上振れ余地。,2026-06-14T03:21:09.271Z
2872,割安,60,PER 11.2 倍は資源価格を保守的に織り込んだ水準、配当 4.0% は 5 大商社トップ。鉄鉱石・LNG 価格次第で上振れ余地大、バフェット効果も支え。,2026-06-14T03:21:09.271Z
2853,ほぼ妥当,46,PER 12.2 倍は 5 大商社平均より高めだが、ROE 17.8% / 非資源プレミアムを考慮すれば妥当圏。PBR 1.52 倍はやや割高感、株価上昇余地は限定的。,2026-06-14T03:21:09.271Z
2885,割安,65,PER 11.5 倍・PBR 0.98 倍は 5 大商社最割安、配当 4.5% も最高。構造改革の進捗次第で上値余地大、下値は配当で支え。,2026-06-14T03:21:09.271Z
2854,割安,58,PER 10.4 倍は 5 大商社最割安水準、ROE 14.2% / 配当 3.8% で質も高い。非資源比率の高さと北米事業の安定性で下値硬く、上振れ余地もあり。,2026-06-14T03:21:09.271Z
2996,ほぼ妥当,48,PER 11.8 倍・PBR 1.08 倍は利上げ織り込みの後の妥当圏、ROE 8.8% / 配当 3.4% で安定。さらなる利上げ進行で上振れ余地、減速で下落リスク。,2026-06-14T03:21:09.271Z
2999,割安,56,PER 11.5 倍・PBR 0.95 倍は 1 倍割れで割安。ROE 8.6% / 配当 4.2% / 利上げ恩恵を考慮すれば PBR 1.1-1.2 倍への戻りで株価 +15-25% 余地。,2026-06-14T03:21:09.271Z
3034,割安,62,PER 10.8 倍・PBR 0.85 倍は 3 メガバンク最割安、配当 4.5% も最高。構造改革進捗・Greenhill 統合シナジーで上値余地大、下値は配当で支え。,2026-06-14T03:21:09.271Z
3066,ほぼ妥当,45,PER 13.2 倍は ROE 6.2% に対しては妥当、PBR 0.78 倍の割安感は構造課題を織り込んだ水準。新 NISA でリテール拡大、ROE 改善が確認されれば上値余地。,2026-06-14T03:21:09.271Z
3096,ほぼ妥当,50,PER 13.5 倍は損保業界平均並み、ROE 13.5% / 海外比率 50% / 配当 3.6% を考慮すれば妥当圏。気候変動リスク・M&A 成功実績で上値余地。,2026-06-14T03:21:09.271Z
3088,割安,58,PER 11.8 倍・PBR 0.92 倍は損保業界中位で、配当 4.8% は最高水準。ビッグモーター事案からの回復・海外戦略加速で上値余地、配当で下値支え。,2026-06-14T03:21:09.271Z
3105,ほぼ妥当,52,PER 13.5 倍・PBR 0.95 倍は不動産業界平均並み、ROE 7.2% / 売上成長 7.4% を考慮すれば妥当圏。日本橋・八重洲再開発完成タイミングで再評価余地。,2026-06-14T03:21:09.271Z
3106,やや割高,38,PER 16.2 倍・PBR 1.18 倍は不動産業界やや高め、丸の内ブランドのプレミアムを織り込んだ水準。日銀利上げで PER 切り下げリスク。,2026-06-14T03:21:09.271Z
3110,ほぼ妥当,50,PER 11.5 倍・PBR 1.05 倍は不動産業界平均並み、ROE 9.4% / 営業利益率 22.5% で質高。日銀利上げで PER 切り下げリスクあるが、賃貸モデルの安定性で下値硬い。,2026-06-14T03:21:09.271Z
114,割安,60,PER 9.8 倍は不動産業界中で低位、ROE 11.5% / 物流・海外成長を考慮すれば割安。事業構造変化が浸透すれば PER 12-14 倍への戻り余地、配当 3.4% も支え。,2026-06-14T03:21:09.271Z
116,割安,56,PER 10.5 倍・PBR 1.18 倍は住宅業界中位、ROE 11.8% / MDC 買収による海外成長を考慮すれば妥当～割安。配当 3.6% で下値支え、米国住宅市場の構造的需要で長期成長余地。,2026-06-14T03:21:09.271Z
3348,ほぼ妥当,52,PER 11.2 倍・PBR 1.42 倍は通信大手としては妥当圏、ROE 12.8% / 配当 3.2% の質を考慮すれば適正。IOWN・データ事業の長期成長余地に対しては市場が織り込み不足の可能性、累進配当の安全性で下値支えあり。,2026-06-14T03:21:09.271Z
3349,ほぼ妥当,56,PER 12.8 倍・PBR 1.78 倍は通信大手としては妥当～やや割高、ROE 14.2% の質と ローソン買収による成長余地で適正圏。22 期連続増配の安全性、ライフデザイン戦略の独自性で長期投資先として優位。,2026-06-14T03:21:09.271Z
3563,ほぼ妥当,50,PER 14.2 倍は持株会社として表面的に高めだが、NAV ベースでは 50% ディスカウント水準。Arm 時価変動が支配的要素で、SOX ベータ 2.45 と AI 投資ファンド性格を考慮すれば妥当～やや割高。短期ボラ覚悟で OpenAI・Stargate 成果次第の宝くじ性格を持つ。,2026-06-14T03:21:09.271Z
1382,ほぼ妥当,48,"現状赤字（ROE -8.5%）で PER 表記不能。フィンテック単独評価（推定 15,000 億円）+ EC 評価（推定 8,000 億円）+ モバイル黒字化オプション（推定 0-15,000 億円）の SOTP 評価で時価 22,500 億円はモバイル黒字化を 30% 程度織り込み済み。黒字化シナリオ確度上昇で上値、遅延で下値。",2026-06-14T03:21:09.271Z
1060,割安,58,PER 14.5 倍・PBR 0.92 倍は化学業界中位、ただし汎用化学の構造不況が織り込み済み。事業ポートフォリオ転換成功なら PBR 1.2 倍超への戻り余地、産業ガス・MMA の質を考慮すれば割安。配当 3.8% で下値支え、東証 PBR 改善要請対応の最右翼候補。,2026-06-14T03:21:09.271Z
967,ほぼ妥当,42,現状赤字（ROE -8.5%）で PER 表記不能、PBR 0.62 倍は化学業界最低水準。再建シナリオ成功で PBR 1.0 倍まで戻れば株価 +60% 余地、失敗なら配当維持困難で下値リスク。ハイリスク・ハイリターンの典型、リスク許容度の高い投資家向け。,2026-06-14T03:21:09.271Z
665,ほぼ妥当,52,PER 18.5 倍・PBR 1.08 倍は機能性素材としては妥当圏、ROE 5.8% は低位だが業績回復余地あり。Boeing/Airbus 生産正常化・EV 拡大・水処理膜の超長期成長を考慮すれば適正、汎用化学リスクなしの差別化評価。,2026-06-14T03:21:09.271Z
2983,やや割高,45,PER 38.5 倍・PBR 1.92 倍は小売業として割高水準、ROE 5.2% の低さがネック。ただしツルハ統合シナジー・PB 拡大・モール再評価で 2027-28 年に PER 25-30 倍水準への正常化期待、長期では妥当範囲に。,2026-06-14T03:21:09.271Z
653,ほぼ妥当,58,PER 21.5 倍は小売業平均より高めだが、ACT TOB 提案で株価フロア形成、創業家 MBO シナリオでさらに上値余地。Speedway 統合シナジー・イトーヨーカ堂売却・PB 強化の三軸で 2027-28 年 ROE 10% 超への到達期待。,2026-06-14T03:21:09.271Z
3562,やや割高,50,PER 38.5 倍・PBR 7.2 倍は世界アパレル小売最高水準、Inditex（Zara、PER 25 倍）と比較して割高感あり。ただし営業利益率 16.2%・ROE 21.5% の質と海外成長余地を考慮すれば妥当～やや割高の範囲。中国減速・欧米競争激化リスクで下値リスクも併存。,2026-06-14T03:21:09.271Z
742,ほぼ妥当,56,PER 22.5 倍・PBR 4.85 倍は外食業界としてはやや割高だが、ROE 21.5% の質と海外成長 +25% を考慮すれば妥当圏。訪日インバウンド・円安・海外展開の三軸追い風で 2027 年営業利益 +40% 計画、目標達成で PER 18-20 倍水準への正常化期待。,2026-06-14T03:21:09.271Z
2971,割安,60,PER 14.5 倍・PBR 1.42 倍は小売業界中位、ROE 9.8% / 営業利益率 9.5% の質と配当 3.5% を考慮すれば妥当～割安。海外展開せず国内特化の構造リスクは織り込み済み、地方ロードサイド型の独自ポジションで下値硬い。,2026-06-14T03:21:09.271Z
